Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,17.3,"1,627",281.471,14.4,20.5,14.4 - 20.5,11.2-20.4,,25.0-29.2,,25.0-29.2,,23.1-24.9,254352
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,19.4,"1,616",313.504,16.6,22.4,16.6 - 22.4,12.1-19.4,,22.9-24.6,,24.7-31.8,,12.1-19.4,230440
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,18.4,"1,473",271.032,15,22.2,15.0 - 22.2,12.2-19.7,,22.7-24.7,,24.8-27.9,,22.7-24.7,153558
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,20.6,"1,537",316.622,17,24.6,17.0 - 24.6,20.3-22.7,,20.3-22.7,,22.8-23.8,,22.8-23.8,108134
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,19.4,"1,500",291,16.3,22.8,16.3 - 22.8,19.4-22.2,,19.4-22.2,,24.2-28.7,,24.2-28.7,96083
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,20.6,"1,410",290.46,17.5,23.9,17.5 - 23.9,20.0-21.0,,23.9-32.3,,23.9-32.3,,21.1-23.8,108045
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,18.7,"1,517",283.679,15.1,22.8,15.1 - 22.8,15.4-20.1,,22.8-24.6,,22.8-24.6,,24.7-29.7,92482
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,19.6,"1,397",273.812,15.8,23.9,15.8 - 23.9,19.1-22.5,,19.1-22.5,,24.8-29.2,,22.6-24.7,61389
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,19.6,"1,353",265.188,16,23.7,16.0 - 23.7,12.2-19.6,,25.2-29.5,,22.9-25.1,,25.2-29.5,36086
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,16.6,"1,331",220.946,13.2,20.5,13.2 - 20.5,14.4-20.5,,20.6-22.1,,25.0-29.2,,22.2-24.9,18839
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,18,"1,210",217.8,14.4,22,14.4 - 22.0,15.9-20.2,,23.2-25.0,,23.2-25.0,,25.1-28.4,8381
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,17.1,"1,165",199.215,13.7,21.1,13.7 - 21.1,13.1-21.1,,23.9-26.7,,26.8-30.6,,26.8-30.6,7280
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,18.1,"1,279",231.499,14.7,21.8,14.7 - 21.8,10.9-21.4,,23.9-25.8,,25.9-30.8,,23.9-25.8,19519
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,16.8,"1,292",217.056,14.1,19.7,14.1 - 19.7,13.7-20.4,,23.5-26.5,,23.5-26.5,,26.6-31.4,44536
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,17.2,"1,120",192.64,13.9,21,13.9 - 21.0,11.8-21.0,,26.2-29.3,,24.4-26.1,,24.4-26.1,69598
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.4,"1,174",239.496,16.7,24.5,16.7 - 24.5,14.4-21.3,,26.2-30.8,,21.4-24.3,,24.4-26.1,84453
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,22.6,"1,076",243.176,18.6,26.9,18.6 - 26.9,20.8-24.1,,24.2-26.3,,26.4-33.6,,26.4-33.6,94198
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,20.3,"1,154",234.262,16.4,24.7,16.4 - 24.7,12.4-20.3,,20.4-23.5,,23.6-27.0,,20.4-23.5,134216
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,18.2,"1,518",276.276,15.2,21.4,15.2 - 21.4,14.3-20.4,,24.3-26.6,,24.3-26.6,,20.5-24.2,291458
