Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,23.8,666,158.508,19.1,29.1,19.1 - 29.1,23.1-24.9,58864
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,27.2,678,184.416,22.1,32.7,22.1 - 32.7,24.7-31.8,49525
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,21.6,642,138.672,16.1,28,16.1 - 28.0,19.8-22.6,31681
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,19.3,642,123.906,14.6,24.7,14.6 - 24.7,11.3-20.2,17781
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,24.8,636,157.728,20.2,30,20.2 - 30.0,24.2-28.7,11903
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,18.6,584,108.624,14.6,23.2,14.6 - 23.2,14.7-19.9,6797
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,23.9,655,156.545,19.4,28.8,19.4 - 28.8,22.8-24.6,6584
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,24.7,645,159.315,18.6,31.6,18.6 - 31.6,22.6-24.7,6153
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,19.5,643,125.385,16.1,23.4,16.1 - 23.4,12.2-19.6,5258
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.4,567,127.008,18.1,27.3,18.1 - 27.3,22.2-24.9,4152
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,21.8,618,134.724,17,27.2,17.0 - 27.2,20.3-23.1,3688
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,28.7,553,158.711,22.5,35.5,22.5 - 35.5,26.8-30.6,10940
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,26.2,628,164.536,20.9,32.1,20.9 - 32.1,25.9-30.8,32893
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,24.7,658,162.526,20,29.8,20.0 - 29.8,23.5-26.5,70537
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,25.1,553,138.803,18.9,32.2,18.9 - 32.2,24.4-26.1,90620
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,24.3,502,121.986,17.9,31.6,17.9 - 31.6,21.4-24.3,74698
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,27,450,121.5,20.8,34,20.8 - 34.0,26.4-33.6,48733
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,27,461,124.47,22.4,32,22.4 - 32.0,23.6-27.0,9373
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,21.9,577,126.363,17.4,26.9,17.4 - 26.9,20.5-24.2,24681
