Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,22.9,760,174.04,17.2,29.4,17.2 - 29.4,20.5-23.0,,20.5-23.0,,25.0-29.2,,25.0-29.2,,23.1-24.9,7745
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,18.3,718,131.394,14.7,22.5,14.7 - 22.5,12.1-19.4,,19.5-22.8,,22.9-24.6,,24.7-31.8,,12.1-19.4,6719
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,23.3,704,164.032,17.6,29.7,17.6 - 29.7,22.7-24.7,,19.8-22.6,,22.7-24.7,,24.8-27.9,,22.7-24.7,3528
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,26.6,742,197.372,21.1,32.7,21.1 - 32.7,23.9-29.8,,20.3-22.7,,20.3-22.7,,22.8-23.8,,22.8-23.8,2488
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,22.9,737,168.773,17.9,28.6,17.9 - 28.6,22.3-24.1,,22.3-24.1,,19.4-22.2,,24.2-28.7,,24.2-28.7,2098
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,18.8,556,104.528,14.9,23.3,14.9 - 23.3,14.7-19.9,,20.0-21.0,,23.9-32.3,,23.9-32.3,,21.1-23.8,1775
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,16.6,598,99.268,12.6,21.3,12.6 - 21.3,15.4-20.1,,22.8-24.6,,22.8-24.6,,22.8-24.6,,24.7-29.7,1763
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,14.3,575,82.225,10.5,18.9,10.5 - 18.9,13.3-19.0,,19.1-22.5,,19.1-22.5,,24.8-29.2,,22.6-24.7,1823
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,21,509,106.89,13.5,30.4,13.5 - 30.4,19.7-22.8,,19.7-22.8,,25.2-29.5,,22.9-25.1,,25.2-29.5,2078
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,19.5,546,106.47,14.7,25,14.7 - 25.0,14.4-20.5,,20.6-22.1,,20.6-22.1,,25.0-29.2,,22.2-24.9,2106
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,17,551,93.67,12.8,21.8,12.8 - 21.8,15.9-20.2,,20.3-23.1,,23.2-25.0,,23.2-25.0,,25.1-28.4,1906
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,22.6,491,110.966,17.3,28.7,17.3 - 28.7,21.2-23.8,,21.2-23.8,,23.9-26.7,,26.8-30.6,,26.8-30.6,2284
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,21.4,556,118.984,15.7,28,15.7 - 28.0,10.9-21.4,,21.5-23.8,,23.9-25.8,,25.9-30.8,,23.9-25.8,3311
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,21.7,548,118.916,17.4,26.5,17.4 - 26.5,20.5-23.4,,23.5-26.5,,23.5-26.5,,23.5-26.5,,26.6-31.4,6004
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,20.6,580,119.48,14.9,27.4,14.9 - 27.4,11.8-21.0,,21.1-24.3,,26.2-29.3,,24.4-26.1,,24.4-26.1,10303
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,22.7,511,115.997,18.4,27.5,18.4 - 27.5,21.4-24.3,,24.4-26.1,,26.2-30.8,,21.4-24.3,,24.4-26.1,13541
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,27.4,500,137,19.7,36.3,19.7 - 36.3,26.4-33.6,,20.8-24.1,,24.2-26.3,,26.4-33.6,,26.4-33.6,14829
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,20.1,625,125.625,16.6,24,16.6 - 24.0,12.4-20.3,,23.6-27.0,,20.4-23.5,,23.6-27.0,,20.4-23.5,7286
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,18.5,686,126.91,14.7,22.7,14.7 - 22.7,14.3-20.4,,20.5-24.2,,24.3-26.6,,24.3-26.6,,20.5-24.2,4153
