Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,27.4,799,218.926,22.7,32.5,22.7 - 32.5,25.0-29.2,,25.0-29.2,,25.0-29.2,,23.1-24.9,25092
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,31.8,777,247.086,26.5,37.5,26.5 - 37.5,24.7-31.8,,22.9-24.6,,24.7-31.8,,12.1-19.4,21676
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,22.6,763,172.438,17.5,28.4,17.5 - 28.4,19.8-22.6,,22.7-24.7,,24.8-27.9,,22.7-24.7,14391
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,25,810,202.5,18.8,32.1,18.8 - 32.1,23.9-29.8,,20.3-22.7,,22.8-23.8,,22.8-23.8,10281
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,23.6,750,177,18.6,29.2,18.6 - 29.2,22.3-24.1,,19.4-22.2,,24.2-28.7,,24.2-28.7,9266
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,21.6,728,157.248,17.6,26,17.6 - 26.0,21.1-23.8,,23.9-32.3,,23.9-32.3,,21.1-23.8,11015
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,22.5,799,179.775,18.4,27,18.4 - 27.0,20.2-22.7,,22.8-24.6,,22.8-24.6,,24.7-29.7,10178
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,24.7,770,190.19,19.8,30.1,19.8 - 30.1,22.6-24.7,,19.1-22.5,,24.8-29.2,,22.6-24.7,7054
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,28.4,704,199.936,22.2,35.2,22.2 - 35.2,25.2-29.5,,25.2-29.5,,22.9-25.1,,25.2-29.5,4106
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,24.9,667,166.083,19.5,31,19.5 - 31.0,22.2-24.9,,20.6-22.1,,25.0-29.2,,22.2-24.9,1887
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.9,634,164.206,20.5,31.8,20.5 - 31.8,25.1-28.4,,23.2-25.0,,23.2-25.0,,25.1-28.4,851
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,27.7,597,165.369,21.9,33.9,21.9 - 33.9,26.8-30.6,,23.9-26.7,,26.8-30.6,,26.8-30.6,846
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,26.7,649,173.283,21.8,32.1,21.8 - 32.1,25.9-30.8,,23.9-25.8,,25.9-30.8,,23.9-25.8,2394
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,24,634,152.16,19.4,29.1,19.4 - 29.1,23.5-26.5,,23.5-26.5,,23.5-26.5,,26.6-31.4,5367
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,27.1,586,158.806,21.7,33,21.7 - 33.0,26.2-29.3,,26.2-29.3,,24.4-26.1,,24.4-26.1,7599
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,26.8,559,149.812,20.8,33.6,20.8 - 33.6,26.2-30.8,,26.2-30.8,,21.4-24.3,,24.4-26.1,8775
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,26.3,589,154.907,21.4,31.6,21.4 - 31.6,24.2-26.3,,24.2-26.3,,26.4-33.6,,26.4-33.6,9200
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,25.2,571,143.892,20.6,30.3,20.6 - 30.3,23.6-27.0,,20.4-23.5,,23.6-27.0,,20.4-23.5,12183
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,24.5,796,195.02,20.8,28.5,20.8 - 28.5,24.3-26.6,,24.3-26.6,,24.3-26.6,,20.5-24.2,32154
