Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,16.4,"6,417",1052.388,14.6,18.2,14.6 - 18.2,11.2-20.4,1094364
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,14.6,"6,012",877.752,13.1,16.2,13.1 - 16.2,12.1-19.4,828937
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,18.6,"6,154",1144.644,16.6,20.8,16.6 - 20.8,12.2-19.7,419179
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,18.1,"6,181",1118.761,15.3,21.1,15.3 - 21.1,11.3-20.2,214193
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,16.1,"5,931",954.891,13.9,18.4,13.9 - 18.4,11.6-19.3,120439
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,19.3,"5,377",1037.761,17.1,21.7,17.1 - 21.7,14.7-19.9,76827
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,16.4,"5,593",917.252,14.6,18.4,14.6 - 18.4,15.4-20.1,68314
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,15.6,"5,359",836.004,13.8,17.5,13.8 - 17.5,13.3-19.0,53803
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,17.1,"4,959",847.989,15.3,19.1,15.3 - 19.1,12.2-19.6,42632
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,16.3,"4,744",773.272,14.5,18.2,14.5 - 18.2,14.4-20.5,35539
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,16.2,"4,621",748.602,13.9,18.7,13.9 - 18.7,15.9-20.2,30765
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,17.8,"5,544",986.832,15.7,20,15.7 - 20.0,13.1-21.1,67830
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,15.9,"6,227",990.093,14,17.8,14.0 - 17.8,10.9-21.4,178673
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,16,"5,787",925.92,14.2,18.1,14.2 - 18.1,13.7-20.4,302770
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,17.2,"5,775",993.3,15.3,19.3,15.3 - 19.3,11.8-21.0,384384
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,17,"5,815",988.55,15,19.2,15.0 - 19.2,14.4-21.3,362713
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,15.4,"5,318",818.972,13.7,17.2,13.7 - 17.2,12.7-20.7,281248
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,16.1,4545,731.745,14.3,17.9,14.3 - 17.9,12.4-20.3,150348
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,19,5727,1088.13,16.7,21.4,16.7 - 21.4,14.3-20.4,308923
