Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,24.7,810,200.07,19.6,30.4,19.6 - 30.4,24.7-29.7,9105
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,20.7,892,184.644,15.7,26.5,15.7 - 26.5,19.1-22.5,7198
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,16.7,810,135.27,12.4,21.7,12.4 - 21.7,12.2-19.6,4186
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,21.8,698,152.164,16.1,28.3,16.1 - 28.3,20.6-22.1,2202
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.5,729,164.025,17.9,27.7,17.9 - 27.7,20.3-23.1,1117
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,21.1,919,193.909,16.9,25.8,16.9 - 25.8,13.1-21.1,910
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,26.1,996,259.956,21,31.7,21.0 - 31.7,25.9-30.8,1900
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,18.8,911,171.268,15.2,22.7,15.2 - 22.7,13.7-20.4,4706
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,22.2,908,201.576,18,26.9,18.0 - 26.9,21.1-24.3,8348
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,19.8,844,167.112,15.9,24.2,15.9 - 24.2,14.4-21.3,11087
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,21.8,775,168.95,17.2,27,17.2 - 27.0,20.8-24.1,12498
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,20.2,553,111.706,15.8,25.1,15.8 - 25.1,12.4-20.3,9297
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,28.6,880,251.68,23.9,33.7,23.9 - 33.7,26.7-30.9,21738
