Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,16.8,720,120.96,13.7,20.3,13.7 - 20.3,13.3-19.0,3891
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,19.9,729,145.071,15,25.4,15.0 - 25.4,19.7-22.8,3167
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.4,755,169.12,17.8,27.6,17.8 - 27.6,22.2-24.9,2484
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,23.5,700,164.5,18.9,28.6,18.9 - 28.6,23.2-25.0,2026
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,23.9,661,157.979,19,29.4,19.0 - 29.4,23.9-26.7,1661
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,20.3,736,149.408,15.6,25.8,15.6 - 25.8,10.9-21.4,3377
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,23.3,695,161.935,18.5,28.8,18.5 - 28.8,20.5-23.4,6483
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,22.5,648,145.8,17.3,28.5,17.3 - 28.5,21.1-24.3,11065
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,25.5,657,167.535,20.3,31.4,20.3 - 31.4,24.4-26.1,16443
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,17.5,615,107.625,12.9,23.1,12.9 - 23.1,12.7-20.7,22597
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,22.8,691,157.548,19.6,26.4,19.6 - 26.4,20.4-23.5,13479
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,28.6,730,208.78,23.5,34,23.5 - 34.0,26.7-30.9,6049
