Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,22.8,"1,263",287.964,19.1,26.8,19.1 - 26.8,20.5-23.0,,20.5-23.0,,25.0-29.2,,25.0-29.2,,23.1-24.9,75739
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,23.3,"1,269",295.677,19.8,26.9,19.8 - 26.9,22.9-24.6,,19.5-22.8,,22.9-24.6,,24.7-31.8,,12.1-19.4,63866
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,21.6,"1,242",268.272,17.4,26.3,17.4 - 26.3,19.8-22.6,,19.8-22.6,,22.7-24.7,,24.8-27.9,,22.7-24.7,37921
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,21.3,"1,203",256.239,17.5,25.4,17.5 - 25.4,20.3-22.7,,20.3-22.7,,20.3-22.7,,22.8-23.8,,22.8-23.8,24870
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,22.4,"1,216",272.384,18.7,26.4,18.7 - 26.4,22.3-24.1,,22.3-24.1,,19.4-22.2,,24.2-28.7,,24.2-28.7,18642
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,19.4,"1,152",223.488,16.5,22.6,16.5 - 22.6,14.7-19.9,,20.0-21.0,,23.9-32.3,,23.9-32.3,,21.1-23.8,21730
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,25.9,"1,295",335.405,21.9,30.1,21.9 - 30.1,24.7-29.7,,22.8-24.6,,22.8-24.6,,22.8-24.6,,24.7-29.7,23382
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,23.6,"1,215",286.74,20.2,27.3,20.2 - 27.3,22.6-24.7,,19.1-22.5,,19.1-22.5,,24.8-29.2,,22.6-24.7,20546
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,19.8,"1,222",241.956,15.6,24.5,15.6 - 24.5,19.7-22.8,,19.7-22.8,,25.2-29.5,,22.9-25.1,,25.2-29.5,15516
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,20.6,"1,113",229.278,17.5,24,17.5 - 24.0,20.6-22.1,,20.6-22.1,,20.6-22.1,,25.0-29.2,,22.2-24.9,8806
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,20,"1,076",215.2,16,24.4,16.0 - 24.4,15.9-20.2,,20.3-23.1,,23.2-25.0,,23.2-25.0,,25.1-28.4,4025
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,25,"1,015",253.75,21.5,28.8,21.5 - 28.8,23.9-26.7,,21.2-23.8,,23.9-26.7,,26.8-30.6,,26.8-30.6,4237
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,25.1,"1,163",291.913,21,29.5,21.0 - 29.5,23.9-25.8,,21.5-23.8,,23.9-25.8,,25.9-30.8,,23.9-25.8,14141
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,22.7,"1,133",257.191,19.5,26.3,19.5 - 26.3,20.5-23.4,,23.5-26.5,,23.5-26.5,,23.5-26.5,,26.6-31.4,30232
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,24.3,"1,064",258.552,20.4,28.6,20.4 - 28.6,21.1-24.3,,21.1-24.3,,26.2-29.3,,24.4-26.1,,24.4-26.1,45407
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,25.1,"1,005",252.255,21.8,28.6,21.8 - 28.6,24.4-26.1,,24.4-26.1,,26.2-30.8,,21.4-24.3,,24.4-26.1,55048
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,18,896,161.28,15,21.2,15.0 - 21.2,12.7-20.7,,20.8-24.1,,24.2-26.3,,26.4-33.6,,26.4-33.6,73515
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,28.2,"1,031",290.742,24.6,31.9,24.6 - 31.9,27.1-34.4,,23.6-27.0,,20.4-23.5,,23.6-27.0,,20.4-23.5,95622
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,24.5,"1,301",318.745,21.6,27.7,21.6 - 27.7,24.3-26.6,,20.5-24.2,,24.3-26.6,,24.3-26.6,,20.5-24.2,122971
