Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,22.2,"2,019",448.218,19,25.6,19.0 - 25.6,19.5-22.8,,22.9-24.6,,24.7-31.8,,12.1-19.4,139098
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,19.7,"2,086",410.942,17.1,22.5,17.1 - 22.5,12.2-19.7,,22.7-24.7,,24.8-27.9,,22.7-24.7,102305
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,20.2,"2,101",424.402,16.5,24.2,16.5 - 24.2,11.3-20.2,,20.3-22.7,,22.8-23.8,,22.8-23.8,68069
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,20.9,"2,042",426.778,17.5,24.6,17.5 - 24.6,19.4-22.2,,19.4-22.2,,24.2-28.7,,24.2-28.7,44958
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,20.9,"1,945",406.505,18,24.1,18.0 - 24.1,20.0-21.0,,23.9-32.3,,23.9-32.3,,21.1-23.8,43158
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,22.5,"2,134",480.15,19.3,25.9,19.3 - 25.9,20.2-22.7,,22.8-24.6,,22.8-24.6,,24.7-29.7,39365
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,22.6,"2,015",455.39,19.6,25.8,19.6 - 25.8,22.6-24.7,,19.1-22.5,,24.8-29.2,,22.6-24.7,28515
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,22.9,"1,872",428.688,19.2,26.9,19.2 - 26.9,22.9-25.1,,25.2-29.5,,22.9-25.1,,25.2-29.5,17285
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,19.6,"1,846",361.816,16.4,23.2,16.4 - 23.2,14.4-20.5,,20.6-22.1,,25.0-29.2,,22.2-24.9,9278
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,22.6,"1,739",393.014,18.8,26.8,18.8 - 26.8,20.3-23.1,,23.2-25.0,,23.2-25.0,,25.1-28.4,5249
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,23.6,"1,707",402.852,20.7,26.6,20.7 - 26.6,21.2-23.8,,23.9-26.7,,26.8-30.6,,26.8-30.6,8413
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,20.8,"1,753",364.624,17.3,24.6,17.3 - 24.6,10.9-21.4,,23.9-25.8,,25.9-30.8,,23.9-25.8,21221
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,20.8,"1,740",361.92,17.8,24,17.8 - 24.0,20.5-23.4,,23.5-26.5,,23.5-26.5,,26.6-31.4,44403
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,23.5,"1,569",368.715,19.8,27.4,19.8 - 27.4,21.1-24.3,,26.2-29.3,,24.4-26.1,,24.4-26.1,73039
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,19.5,"1,463",285.285,16.8,22.4,16.8 - 22.4,14.4-21.3,,26.2-30.8,,21.4-24.3,,24.4-26.1,94462
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,20.2,"1,420",286.84,16.9,23.8,16.9 - 23.8,12.7-20.7,,24.2-26.3,,26.4-33.6,,26.4-33.6,96934
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,25.1,"1,590",399.09,21.4,29.1,21.4 - 29.1,23.6-27.0,,20.4-23.5,,23.6-27.0,,20.4-23.5,43322
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,23.2,"2,016",467.712,20.2,26.4,20.2 - 26.4,20.5-24.2,,24.3-26.6,,24.3-26.6,,20.5-24.2,129377
