Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,22.4,"1,190",266.56,18.5,26.8,18.5 - 26.8,20.5-23.0,,25.0-29.2,,25.0-29.2,,23.1-24.9,135575
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,22.8,"1,150",262.2,18.3,27.7,18.3 - 27.7,19.5-22.8,,22.9-24.6,,24.7-31.8,,12.1-19.4,130528
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,21.6,"1,044",225.504,18.1,25.5,18.1 - 25.5,19.8-22.6,,22.7-24.7,,24.8-27.9,,22.7-24.7,88894
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,22.9,"1,162",266.098,19.2,27,19.2 - 27.0,22.8-23.8,,20.3-22.7,,22.8-23.8,,22.8-23.8,57345
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,22.7,"1,089",247.203,19.5,26.3,19.5 - 26.3,22.3-24.1,,19.4-22.2,,24.2-28.7,,24.2-28.7,36744
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,21,622,130.62,15.9,27,15.9 - 27.0,20.0-21.0,,23.9-32.3,,23.9-32.3,,21.1-23.8,26750
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,19.2,"1,020",195.84,15,24.1,15.0 - 24.1,15.4-20.1,,22.8-24.6,,22.8-24.6,,24.7-29.7,24462
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,19,"1,015",192.85,15.8,22.5,15.8 - 22.5,13.3-19.0,,19.1-22.5,,24.8-29.2,,22.6-24.7,20573
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,25.3,"1,038",262.614,21.1,29.9,21.1 - 29.9,25.2-29.5,,25.2-29.5,,22.9-25.1,,25.2-29.5,14260
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,25,941,235.25,20.2,30.3,20.2 - 30.3,25.0-29.2,,20.6-22.1,,25.0-29.2,,22.2-24.9,9095
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25.3,957,242.121,19.9,31.4,19.9 - 31.4,25.1-28.4,,23.2-25.0,,23.2-25.0,,25.1-28.4,5849
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,22.9,937,214.573,18.9,27.3,18.9 - 27.3,21.2-23.8,,23.9-26.7,,26.8-30.6,,26.8-30.6,9368
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,23.2,"1,000",232,19.4,27.4,19.4 - 27.4,21.5-23.8,,23.9-25.8,,25.9-30.8,,23.9-25.8,30327
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,27.5,"1,042",286.55,23,32.4,23.0 - 32.4,26.6-31.4,,23.5-26.5,,23.5-26.5,,26.6-31.4,69929
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,26.8,988,264.784,23.4,30.5,23.4 - 30.5,26.2-29.3,,26.2-29.3,,24.4-26.1,,24.4-26.1,116132
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,26.4,856,225.984,21.5,31.8,21.5 - 31.8,26.2-30.8,,26.2-30.8,,21.4-24.3,,24.4-26.1,141374
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,24.1,831,200.271,20,28.5,20.0 - 28.5,20.8-24.1,,24.2-26.3,,26.4-33.6,,26.4-33.6,119539
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,24.6,876,215.496,20.4,29.2,20.4 - 29.2,23.6-27.0,,20.4-23.5,,23.6-27.0,,20.4-23.5,19235
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,24.9,"1,105",275.145,20.6,29.6,20.6 - 29.6,24.3-26.6,,24.3-26.6,,24.3-26.6,,20.5-24.2,42635
