Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,18.8,"4,144",779.072,16.4,21.4,16.4 - 21.4,12.1-19.4,,22.9-24.6,,24.7-31.8,,12.1-19.4,589957
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,19.2,"4,251",816.192,16.8,21.7,16.8 - 21.7,12.2-19.7,,22.7-24.7,,24.8-27.9,,22.7-24.7,436035
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,17.5,"4,455",779.625,15.2,20,15.2 - 20.0,11.3-20.2,,20.3-22.7,,22.8-23.8,,22.8-23.8,247924
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,17.7,"4,110",727.47,15.3,20.4,15.3 - 20.4,11.6-19.3,,19.4-22.2,,24.2-28.7,,24.2-28.7,163973
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,20.4,"3,702",755.208,17.4,23.6,17.4 - 23.6,20.0-21.0,,23.9-32.3,,23.9-32.3,,21.1-23.8,103948
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,20.4,"4,044",824.976,17.6,23.4,17.6 - 23.4,20.2-22.7,,22.8-24.6,,22.8-24.6,,24.7-29.7,97332
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,17,"3,908",664.36,15,19.2,15.0 - 19.2,13.3-19.0,,19.1-22.5,,24.8-29.2,,22.6-24.7,85389
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,17.5,"3,816",667.8,15.4,19.8,15.4 - 19.8,12.2-19.6,,25.2-29.5,,22.9-25.1,,25.2-29.5,67043
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,20.5,"3,537",725.085,17.7,23.6,17.7 - 23.6,14.4-20.5,,20.6-22.1,,25.0-29.2,,22.2-24.9,52199
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,17.1,"3,521",602.091,14.3,20.2,14.3 - 20.2,15.9-20.2,,23.2-25.0,,23.2-25.0,,25.1-28.4,41526
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,18.8,"3,402",639.576,16.6,21.1,16.6 - 21.1,13.1-21.1,,23.9-26.7,,26.8-30.6,,26.8-30.6,61680
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,19.3,"3,835",740.155,16.5,22.3,16.5 - 22.3,10.9-21.4,,23.9-25.8,,25.9-30.8,,23.9-25.8,167070
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,17.4,"3,766",655.284,15.7,19.3,15.7 - 19.3,13.7-20.4,,23.5-26.5,,23.5-26.5,,26.6-31.4,332200
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,19.7,"3,515",692.455,17.5,22.1,17.5 - 22.1,11.8-21.0,,26.2-29.3,,24.4-26.1,,24.4-26.1,449096
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,19.5,"3,212",626.34,16.9,22.4,16.9 - 22.4,14.4-21.3,,26.2-30.8,,21.4-24.3,,24.4-26.1,498306
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,20.5,"3,050",625.25,17.9,23.3,17.9 - 23.3,12.7-20.7,,24.2-26.3,,26.4-33.6,,26.4-33.6,432423
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,18.6,"2,912",541.632,16.7,20.6,16.7 - 20.6,12.4-20.3,,20.4-23.5,,23.6-27.0,,20.4-23.5,87622
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,22.2,"3,810",845.82,19.8,24.7,19.8 - 24.7,20.5-24.2,,24.3-26.6,,24.3-26.6,,20.5-24.2,229275
