Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,25.1,762,191.262,20.7,30,20.7 - 30.0,25.0-29.2,,25.0-29.2,,25.0-29.2,,23.1-24.9,10554
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,21.3,733,156.129,17.3,25.8,17.3 - 25.8,19.5-22.8,,22.9-24.6,,24.7-31.8,,12.1-19.4,7563
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,19.2,791,151.872,15,24.1,15.0 - 24.1,12.2-19.7,,22.7-24.7,,24.8-27.9,,22.7-24.7,4899
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,20.9,794,165.946,16.7,25.5,16.7 - 25.5,20.3-22.7,,20.3-22.7,,22.8-23.8,,22.8-23.8,4402
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,18.3,715,130.845,14.1,23.1,14.1 - 23.1,11.6-19.3,,19.4-22.2,,24.2-28.7,,24.2-28.7,4373
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,23.9,465,111.135,17.1,31.9,17.1 - 31.9,23.9-32.3,,23.9-32.3,,23.9-32.3,,21.1-23.8,5588
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,22.7,711,161.397,17.9,28.2,17.9 - 28.2,20.2-22.7,,22.8-24.6,,22.8-24.6,,24.7-29.7,4903
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,18,640,115.2,14,22.7,14.0 - 22.7,13.3-19.0,,19.1-22.5,,24.8-29.2,,22.6-24.7,3364
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,24.9,605,150.645,20.3,30,20.3 - 30.0,22.9-25.1,,25.2-29.5,,22.9-25.1,,25.2-29.5,1843
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,21.2,612,129.744,15.9,27.3,15.9 - 27.3,20.6-22.1,,20.6-22.1,,25.0-29.2,,22.2-24.9,879
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,18.5,586,108.41,15,22.5,15.0 - 22.5,15.9-20.2,,23.2-25.0,,23.2-25.0,,25.1-28.4,445
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,20,581,116.2,16,24.5,16.0 - 24.5,13.1-21.1,,23.9-26.7,,26.8-30.6,,26.8-30.6,502
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,23.4,659,154.206,18.5,28.9,18.5 - 28.9,21.5-23.8,,23.9-25.8,,25.9-30.8,,23.9-25.8,966
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,26.5,628,166.42,22.4,30.9,22.4 - 30.9,23.5-26.5,,23.5-26.5,,23.5-26.5,,26.6-31.4,2778
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,20.3,521,105.763,16.1,25,16.1 - 25.0,11.8-21.0,,26.2-29.3,,24.4-26.1,,24.4-26.1,7303
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,28.8,476,137.088,22.5,35.8,22.5 - 35.8,26.2-30.8,,26.2-30.8,,21.4-24.3,,24.4-26.1,11540
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,23.6,514,121.304,19.3,28.3,19.3 - 28.3,20.8-24.1,,24.2-26.3,,26.4-33.6,,26.4-33.6,12287
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,18.2,530,96.46,13.8,23.2,13.8 - 23.2,12.4-20.3,,20.4-23.5,,23.6-27.0,,20.4-23.5,11541
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,27.3,644,175.812,23.1,31.9,23.1 - 31.9,26.7-30.9,,24.3-26.6,,24.3-26.6,,20.5-24.2,12187
