Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,18.7,"1,726",322.762,16.4,21.2,16.4 - 21.2,11.3-20.2,,20.3-22.7,,22.8-23.8,,22.8-23.8,95980
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,15.7,"1,673",262.661,13.2,18.3,13.2 - 18.3,11.6-19.3,,19.4-22.2,,24.2-28.7,,24.2-28.7,97811
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,15.8,"1,487",234.946,13.5,18.3,13.5 - 18.3,14.7-19.9,,23.9-32.3,,23.9-32.3,,21.1-23.8,118921
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,16.5,"1,547",255.255,14.2,19,14.2 - 19.0,15.4-20.1,,22.8-24.6,,22.8-24.6,,24.7-29.7,96984
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,16.4,"1,406",230.584,13.4,19.8,13.4 - 19.8,13.3-19.0,,19.1-22.5,,24.8-29.2,,22.6-24.7,58177
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,19.7,"1,475",290.575,15.8,24,15.8 - 24.0,19.7-22.8,,25.2-29.5,,22.9-25.1,,25.2-29.5,23964
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,18.4,"1,319",242.696,14.6,22.8,14.6 - 22.8,14.4-20.5,,20.6-22.1,,25.0-29.2,,22.2-24.9,9884
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,18.8,"1,320",248.16,15.3,22.8,15.3 - 22.8,15.9-20.2,,23.2-25.0,,23.2-25.0,,25.1-28.4,7243
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,20.4,"1,264",257.856,16.9,24.2,16.9 - 24.2,13.1-21.1,,23.9-26.7,,26.8-30.6,,26.8-30.6,9046
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,18.4,"1,345",247.48,14.9,22.3,14.9 - 22.3,10.9-21.4,,23.9-25.8,,25.9-30.8,,23.9-25.8,19237
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,18.5,"1,391",257.335,15.1,22.2,15.1 - 22.2,13.7-20.4,,23.5-26.5,,23.5-26.5,,26.6-31.4,35835
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,21,"1,211",254.31,17.4,25,17.4 - 25.0,11.8-21.0,,26.2-29.3,,24.4-26.1,,24.4-26.1,51777
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,16.5,"1,188",196.02,13.2,20.1,13.2 - 20.1,14.4-21.3,,26.2-30.8,,21.4-24.3,,24.4-26.1,59305
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,20.5,"1,047",214.635,17.1,24.3,17.1 - 24.3,12.7-20.7,,24.2-26.3,,26.4-33.6,,26.4-33.6,60277
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,15.3,"1,192",182.376,12.5,18.4,12.5 - 18.4,12.4-20.3,,20.4-23.5,,23.6-27.0,,20.4-23.5,54940
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,16.9,"1,575",266.175,14.9,19,14.9 - 19.0,14.3-20.4,,24.3-26.6,,24.3-26.6,,20.5-24.2,242649
