Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,25,"1,234",308.5,21.4,28.9,21.4 - 28.9,25.0-29.2,,25.0-29.2,,25.0-29.2,,23.1-24.9,162500
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,23.7,"1,245",295.065,19.9,27.8,19.9 - 27.8,22.9-24.6,,22.9-24.6,,24.7-31.8,,12.1-19.4,117672
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,23.3,"1,179",274.707,19.5,27.5,19.5 - 27.5,22.7-24.7,,22.7-24.7,,24.8-27.9,,22.7-24.7,72094
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,23.6,"1,168",275.648,19.8,27.7,19.8 - 27.7,22.8-23.8,,20.3-22.7,,22.8-23.8,,22.8-23.8,47720
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,25.8,"1,147",295.926,21.5,30.5,21.5 - 30.5,24.2-28.7,,19.4-22.2,,24.2-28.7,,24.2-28.7,36445
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,24.7,"1,098",271.206,20.9,28.9,20.9 - 28.9,23.9-32.3,,23.9-32.3,,23.9-32.3,,21.1-23.8,33855
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,25,"1,257",314.25,21.2,29,21.2 - 29.0,24.7-29.7,,22.8-24.6,,22.8-24.6,,24.7-29.7,35278
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,28.9,"1,143",330.327,24.9,33,24.9 - 33.0,24.8-29.2,,19.1-22.5,,24.8-29.2,,22.6-24.7,30745
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,24,"1,032",247.68,19.3,29.1,19.3 - 29.1,22.9-25.1,,25.2-29.5,,22.9-25.1,,25.2-29.5,19907
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.5,"1,086",244.35,19.2,26.1,19.2 - 26.1,22.2-24.9,,20.6-22.1,,25.0-29.2,,22.2-24.9,12222
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,24.9,"1,075",267.675,20.9,29.3,20.9 - 29.3,23.2-25.0,,23.2-25.0,,23.2-25.0,,25.1-28.4,7083
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,21.4,"1,084",231.976,17.8,25.4,17.8 - 25.4,21.2-23.8,,23.9-26.7,,26.8-30.6,,26.8-30.6,12925
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,24.7,"1,138",281.086,20.3,29.5,20.3 - 29.5,23.9-25.8,,23.9-25.8,,25.9-30.8,,23.9-25.8,39024
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,24.9,"1,206",300.294,21.3,28.7,21.3 - 28.7,23.5-26.5,,23.5-26.5,,23.5-26.5,,26.6-31.4,87219
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,25,"1,057",264.25,21.5,28.8,21.5 - 28.8,24.4-26.1,,26.2-29.3,,24.4-26.1,,24.4-26.1,157681
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,25.6,"1,047",268.032,22.5,28.9,22.5 - 28.9,24.4-26.1,,26.2-30.8,,21.4-24.3,,24.4-26.1,208564
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,24.6,949,233.454,20.1,29.7,20.1 - 29.7,24.2-26.3,,24.2-26.3,,26.4-33.6,,26.4-33.6,172277
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,28,920,257.6,23.2,33.2,23.2 - 33.2,27.1-34.4,,20.4-23.5,,23.6-27.0,,20.4-23.5,35111
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,26.6,"1,189",316.274,23,30.4,23.0 - 30.4,24.3-26.6,,24.3-26.6,,24.3-26.6,,20.5-24.2,82568
