Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,27.8,837,232.686,22.8,33.3,22.8 - 33.3,25.2-29.5,12980
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,29.2,766,223.672,22.5,36.7,22.5 - 36.7,25.0-29.2,10672
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,25,849,212.25,19,31.9,19.0 - 31.9,23.2-25.0,9037
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,29.1,902,262.482,24.9,33.6,24.9 - 33.6,26.8-30.6,28418
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,24.3,969,235.467,20.3,28.7,20.3 - 28.7,23.9-25.8,77742
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,24.9,895,222.855,19.9,30.5,19.9 - 30.5,23.5-26.5,136949
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,27.6,714,197.064,21.7,34.1,21.7 - 34.1,26.2-29.3,134636
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,23.3,735,171.255,19.2,27.9,19.2 - 27.9,21.4-24.3,89958
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,30.8,668,205.744,25.4,36.6,25.4 - 36.6,26.4-33.6,49961
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,21.8,621,135.378,17.5,26.5,17.5 - 26.5,20.4-23.5,11591
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,28.7,830,238.21,24.9,32.8,24.9 - 32.8,26.7-30.9,45334
