Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,17.9,1557,278.703,14.5,21.7,14.5 - 21.7,11.2-20.4,7534
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,17.3,1453,251.369,14.4,20.6,14.4 - 20.6,12.1-19.4,5995
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,17.3,1568,271.264,14.8,20.1,14.8 - 20.1,12.2-19.7,4060
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,19.7,1444,284.468,16,23.9,16.0 - 23.9,11.3-20.2,3756
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,17.6,1475,259.6,14.4,21.2,14.4 - 21.2,11.6-19.3,3675
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,18,1207,217.26,14.9,21.4,14.9 - 21.4,14.7-19.9,4578
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,19.9,1518,302.082,16.1,24.1,16.1 - 24.1,15.4-20.1,4721
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,17.3,1425,246.525,14.2,20.8,14.2 - 20.8,13.3-19.0,3793
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,14,1311,183.54,11.3,17.1,11.3 - 17.1,12.2-19.6,2401
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,18.6,1211,225.246,15.4,22.1,15.4 - 22.1,14.4-20.5,1356
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,17.1,1088,186.048,13.9,20.8,13.9 - 20.8,15.9-20.2,927
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,25.9,1178,305.102,21.6,30.6,21.6 - 30.6,23.9-26.7,2183
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,17.2,1209,207.948,14.8,19.9,14.8 - 19.9,10.9-21.4,4950
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,21.6,1232,266.112,17.5,26.2,17.5 - 26.2,20.5-23.4,8298
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,16.5,1197,197.505,13.7,19.6,13.7 - 19.6,11.8-21.0,12101
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18,1186,213.48,14.8,21.7,14.8 - 21.7,14.4-21.3,16331
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,21.6,1159,250.344,18.3,25.2,18.3 - 25.2,20.8-24.1,24011
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,14.5,637,92.365,9.9,20.1,9.9 - 20.1,12.4-20.3,11247
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,20,749,149.8,15,25.7,15.0 - 25.7,14.3-20.4,6002
