Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,Suppression Flag,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,22.7,"2,796",634.692,20.2,25.5,20.2 - 25.5,20.3-22.7,,20.3-22.7,,22.8-23.8,,22.8-23.8,27452
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,23.1,"2,767",639.177,20.4,26,20.4 - 26.0,22.3-24.1,,19.4-22.2,,24.2-28.7,,24.2-28.7,22140
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,20.2,"2,494",503.788,17.4,23.2,17.4 - 23.2,20.0-21.0,,23.9-32.3,,23.9-32.3,,21.1-23.8,28869
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,23.1,"2,908",671.748,20.5,25.9,20.5 - 25.9,22.8-24.6,,22.8-24.6,,22.8-24.6,,24.7-29.7,36514
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,19.9,"2,799",557.001,17.7,22.3,17.7 - 22.3,19.1-22.5,,19.1-22.5,,24.8-29.2,,22.6-24.7,38799
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,21.6,"2,743",592.488,19,24.5,19.0 - 24.5,19.7-22.8,,25.2-29.5,,22.9-25.1,,25.2-29.5,33730
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,21,"2,681",563.01,18.3,24,18.3 - 24.0,20.6-22.1,,20.6-22.1,,25.0-29.2,,22.2-24.9,25709
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,23.1,"2,484",573.804,20.7,25.6,20.7 - 25.6,20.3-23.1,,23.2-25.0,,23.2-25.0,,25.1-28.4,18793
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,21.7,"2,336",506.912,19.5,23.9,19.5 - 23.9,21.2-23.8,,23.9-26.7,,26.8-30.6,,26.8-30.6,15652
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,23.3,"2,563",597.179,20.4,26.4,20.4 - 26.4,21.5-23.8,,23.9-25.8,,25.9-30.8,,23.9-25.8,29895
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,23.7,"2,634",624.258,21,26.7,21.0 - 26.7,23.5-26.5,,23.5-26.5,,23.5-26.5,,26.6-31.4,57116
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,22.1,"2,404",531.284,19.9,24.3,19.9 - 24.3,21.1-24.3,,26.2-29.3,,24.4-26.1,,24.4-26.1,88637
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,26.1,"2,261",590.121,23,29.5,23.0 - 29.5,24.4-26.1,,26.2-30.8,,21.4-24.3,,24.4-26.1,96928
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,22.3,"2,181",486.363,19.6,25.3,19.6 - 25.3,20.8-24.1,,24.2-26.3,,26.4-33.6,,26.4-33.6,92842
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,24.7,"2,496",616.512,21.8,27.8,21.8 - 27.8,23.6-27.0,,20.4-23.5,,23.6-27.0,,20.4-23.5,44933
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,23.3,"2,964",690.612,20.9,25.9,20.9 - 25.9,20.5-24.2,,24.3-26.6,,24.3-26.6,,20.5-24.2,67828
