Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,23.4,"1,350",315.9,19.8,27.4,19.8 - 27.4,23.1-24.9,58812
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,21.4,"1,274",272.636,18.4,24.6,18.4 - 24.6,19.5-22.8,47598
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,25.9,"1,348",349.132,22.1,30,22.1 - 30.0,24.8-27.9,28895
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,23,"1,386",318.78,19.5,26.8,19.5 - 26.8,22.8-23.8,18441
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,22.3,"1,403",312.869,19.2,25.6,19.2 - 25.6,22.3-24.1,11454
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,28.3,774,219.042,23.5,33.6,23.5 - 33.6,23.9-32.3,7102
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,21.8,"1,403",305.854,18.2,25.8,18.2 - 25.8,20.2-22.7,6648
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,20.6,"1,253",258.118,16.5,25.1,16.5 - 25.1,19.1-22.5,6619
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,19.8,"1,202",237.996,16.5,23.4,16.5 - 23.4,19.7-22.8,5533
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,22.1,"1,204",266.084,18.2,26.4,18.2 - 26.4,20.6-22.1,4368
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,21.7,"1,187",257.579,18.2,25.5,18.2 - 25.5,20.3-23.1,3521
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,24.9,"1,231",306.519,22.2,27.8,22.2 - 27.8,23.9-26.7,8873
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,25.3,"1,270",321.31,22.1,28.8,22.1 - 28.8,23.9-25.8,17983
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,23.4,"1,315",307.71,20.7,26.3,20.7 - 26.3,20.5-23.4,28433
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,29,"1,146",332.34,24.9,33.4,24.9 - 33.4,26.2-29.3,37178
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,29.5,"1,116",329.22,25.6,33.5,25.6 - 33.5,26.2-30.8,41810
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,26.2,"1,071",280.602,22.1,30.6,22.1 - 30.6,24.2-26.3,37861
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,25.9,"1,175",304.325,21.9,30.3,21.9 - 30.3,23.6-27.0,33834
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,26.1,"1,352",352.872,22.7,29.7,22.7 - 29.7,24.3-26.6,54254
