Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3 (Jan 6 ��� Mar 29),23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,27.9,"1,548",432,23.7,32.5,23.7 - 32.5,25.0-29.2,126785
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3 (Jan 6 ��� Mar 29),24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,25.9,"1,481",384,22.3,29.7,22.3 - 29.7,24.7-31.8,98596
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3 (Jan 6 ��� Mar 29),25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,25.8,"1,412",364,21.5,30.6,21.5 - 30.6,24.8-27.9,56365
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3 (Jan 6 ��� Mar 29),26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,23,"1,513",348,20.1,26.2,20.1 - 26.2,22.8-23.8,33963
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3 (Jan 6 ��� Mar 29),27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,24.9,"1,546",385,21.7,28.3,21.7 - 28.3,24.2-28.7,24269
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,26,"1,376",358,21.6,30.9,21.6 - 30.9,23.9-32.3,28560
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,23.9,"1,548",370,20.4,27.8,20.4 - 27.8,22.8-24.6,30690
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,26,"1,463",380,22.9,29.3,22.9 - 29.3,24.8-29.2,29785
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,24.1,"1,373",331,20.7,27.7,20.7 - 27.7,22.9-25.1,25391
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,27.6,"1,218",336,24.2,31.2,24.2 - 31.2,25.0-29.2,16830
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,24,"1,157",278,20.2,28.2,20.2 - 28.2,23.2-25.0,11055
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,28.7,"1,125",323,24.8,32.8,24.8 - 32.8,26.8-30.6,11011
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,26.3,"1,207",317,22.6,30.3,22.6 - 30.3,25.9-30.8,21717
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,26.3,"1,247",328,22.5,30.3,22.5 - 30.3,23.5-26.5,47418
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,26,"1,180",307,22.1,30.1,22.1 - 30.1,24.4-26.1,87613
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,24.3,"1,107",269,20.2,28.8,20.2 - 28.8,21.4-24.3,112136
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,28.2,"1,031",291,23.8,32.9,23.8 - 32.9,26.4-33.6,100843
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,24,"1,180",283,20.3,28,20.3 - 28.0,23.6-27.0,83209
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,26.3,"1,383",364,22.5,30.3,22.5 - 30.3,24.3-26.6,133734
