Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,date,Time Period End Date,Value,Number of Respondents,value1,LowCI,HighCI,Confidence Interval,Quartile Range,value2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,15.5,761,117.955,11.5,20.1,11.5 - 20.1,13.3-19.0,2320
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,17,724,123.08,12.1,22.9,12.1 - 22.9,12.2-19.6,1309
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,25.1,680,170.68,17.9,33.5,17.9 - 33.5,25.0-29.2,803
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,19.9,677,134.723,14.8,25.9,14.8 - 25.9,15.9-20.2,481
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,23.6,997,235.292,16.4,32.1,16.4 - 32.1,21.2-23.8,583
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,18.9,"1,075",203.175,13.4,25.6,13.4 - 25.6,10.9-21.4,1435
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,23,"1,025",235.75,16.9,30,16.9 - 30.0,20.5-23.4,3072
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,21.3,978,208.314,14.2,29.8,14.2 - 29.8,21.1-24.3,4555
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,23.4,887,207.558,18.7,28.7,18.7 - 28.7,21.4-24.3,5054
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,18.3,776,142.008,14.4,22.8,14.4 - 22.8,12.7-20.7,5190
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,21.2,857,181.684,16.6,26.4,16.6 - 26.4,20.4-23.5,2506
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,17.2,1221,210.012,14,20.8,14.0 - 20.8,14.3-20.4,25133
